location_name,latitude,longitude,distance,feature_type,temperature,humidity,wind_speed,wind_deg,dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
Siripuram (towards Pedda Waltair),17.7246574,83.3197938,11533.183771767195,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7232292,83.3182705,11325.593723802238,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Union Bank,17.7233671,83.3184421,11348.036695670851,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Hanuman Temple,17.7470738,83.3286965,13458.46370099342,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7435006,83.3372987,14077.54139133092,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
MVP Departmental Stores,17.7424304,83.3384145,14131.612912721395,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
divya bakery,17.7425428,83.3385004,14145.232708831798,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Jami Function Hall,17.7437614,83.3365426,14018.743263001175,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7438201,83.3352417,13898.578328434083,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7427301,83.3395959,14258.872987743627,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Reliance Fresh,17.7434599,83.3374862,14093.343874803992,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
State Bank of India,17.7433577,83.337881,14125.847142874563,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7433628,83.336993,14041.720413663688,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7438644,83.3355052,13925.70869167461,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
MVP,17.7425521,83.3387699,14171.410675158122,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Baker's Zone,17.7434267,83.3376581,14108.04407133574,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Bank of Baroda,17.7432733,83.3383985,14170.957412131247,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Appolo Pharmacy,17.743378,83.3351151,13864.460292163032,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
MVP,17.743046,83.3384978,14169.348139872764,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Sai Baba Temple,17.7430805,83.3403253,14345.396980269456,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Srikanthi Theater,17.7076838,83.2988411,8830.775828676287,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
