location_name,latitude,longitude,distance,feature_type,temperature,humidity,wind_speed,wind_deg,dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
Marshalls Pet Zone,17.8053689,83.3544202,19493.727696893035,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Prestige,17.8053042,83.3543937,19486.83103924573,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Sri Sai Medicals,17.8043413,83.3537043,19361.07814188884,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Zeeshan,17.8043638,83.3528357,19294.63009099732,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Element E7 Restrobar,17.8045659,83.3530204,19324.172817495928,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Creme Shakes,17.8040924,83.3530111,19288.148405581385,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Pizza Hut,17.8025089,83.3536058,19217.658377465123,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Domino's,17.8024124,83.3535969,19209.841571924582,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Hyundai,17.7981619,83.3538494,18920.178322129257,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Sree Conventions,17.7971735,83.3538831,18851.850027584354,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Reliance Digital,17.7968244,83.3538535,18824.452576080654,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Reliance Trends,17.7966323,83.3538875,18813.463892029293,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
State Bank of India,17.7954852,83.3537099,18717.28259881884,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Tallavalasa,17.9102725,83.4124648,32166.23559646157,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Tallavalasa,17.9103926,83.4119912,32144.383681796266,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Peddipalem,17.9020917,83.3998383,30617.71329964103,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Peddipalem,17.9026532,83.3999171,30671.323310890664,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Anandapuram,17.8952116,83.3788343,28654.31755627292,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Bheemili X Road,17.8822871,83.3762158,27345.593805586526,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Bheemili X Road,17.8823398,83.3759579,27333.495682452944,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Paradesipalem,17.8584428,83.3638809,24465.20061024545,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Boravanipalem,17.8456901,83.3593927,23075.523306935003,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Boravanipalem,17.8459761,83.3592485,23089.7604128007,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Maddilapalem,17.7355643,83.3208149,12121.04287932066,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Somaa,17.7782046,83.3542709,17598.62576449897,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
HP,17.7782898,83.3539459,17575.859055777964,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Bharat Petroleum,17.7617511,83.333897,14786.148817791944,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Medicover Hospitals,17.7478206,83.3318795,13792.977046830614,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Hotel Muntaj,17.744045,83.3277855,13210.704577865066,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Suzuki,17.7433523,83.3283518,13227.015455371557,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
TVS,17.7430452,83.3282601,13202.395825689227,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7414747,83.3280571,13102.276080452664,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Honda,17.7393225,83.3259958,12798.865441159352,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Royal Enfield,17.737671,83.3230428,12436.842909429044,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
HDFC Bank,17.7354008,83.3206723,12099.449363323449,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Union Bank of India,17.7350086,83.3203947,12053.813147480883,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Burger King,17.7239526,83.3086456,10409.19304906204,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Shoppers Stop,17.7291826,83.3145731,11218.943892789506,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Bullayya College,17.7307705,83.3158887,11419.605147059156,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Indian Oil,17.7324077,83.3177665,11677.2485663296,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Bharat Petroleum,17.737796,83.3224306,12385.269121140056,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7420862,83.32766,13096.396732494424,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Lenskart,17.7426321,83.3282509,13180.049449452445,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.755255,83.3328986,14305.34639038622,traffic_signals,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Old Dairy Farm,17.7598198,83.3339167,14669.094835055856,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Adarsha Function Hall,17.7616038,83.3336605,14756.241201305113,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.786154,83.3567371,18327.01464314904,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Kritunga,17.8020126,83.3534138,19165.90574512588,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Union Bank of India,17.8019538,83.35337,19158.10978754572,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Pets World,17.8020093,83.3532633,19153.74943371755,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Kanaka Mahalaxmi Co-operative Bank Ltd.,17.8020167,83.3533642,19162.280715806835,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Alya,17.8024127,83.3535484,19206.02747593564,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Dream Home Interiors,17.7976622,83.3535749,18862.091285100545,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Thick Shake Factory,17.7967271,83.3538153,18814.400530949337,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Honda,17.7987072,83.2110235,12410.962411967686,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Dr BR Ambedkar Gurukulam,17.7695657,83.2812434,11322.504104525484,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Pedda Gadhili,17.7591421,83.3219468,13583.1517058487,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7599159,83.3177846,13281.072289397373,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7602162,83.3154589,13106.903154247955,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
The Wonder Bakes,17.7604727,83.3140922,13011.234246225406,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Netaji Nagar,17.761751,83.3095131,12728.132133806655,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7617208,83.3083794,12634.978963812637,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7667982,83.2870806,11458.882265748174,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Anitha H/W Plumbing Sanitary,17.7755797,83.216851,9827.457682167,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7811192,83.2573358,11222.260690461468,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Adavivaram Junction,17.7801669,83.2526927,10951.502651719966,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7721517,83.2434876,9811.243376124956,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
MedPlus,17.7715948,83.239284,9640.294674590705,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Hotel Sitara Grand,17.7712985,83.2384029,9587.363226000976,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7745941,83.2249144,9740.60564602239,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7748996,83.2192993,9750.997750647726,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7750591,83.2193247,9768.673950716737,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Hi Life Furnitures And Decors,17.8043633,83.2087572,13052.57565321147,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
IndusInd Bank,17.8033907,83.2092008,12941.600676196444,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Federal Bank,17.8023474,83.2095148,12823.951567844151,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Hanuman Furniture Hub,17.8009446,83.2098182,12666.747378960164,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Sri Ambica,17.7985847,83.2109863,12397.685060721416,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Rajyalakshmi Function Hall,17.8067815,83.209056,13316.973131125453,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Coimbatore Filter Coffee,17.8059482,83.2085838,13228.895182622218,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
RK Function Hall,17.797604,83.2106633,12291.6384859529,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
ICICI Bank,17.7960772,83.2117123,12115.928429684052,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Wheel Zone,17.7941386,83.2116826,11901.945018682516,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Ambica Sweets,17.7763693,83.2161388,9916.455326918443,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Arunaa Sweets,17.7758292,83.21706,9854.69895523164,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
VJ Naidu Jewellers,17.7755768,83.216781,9827.271709668908,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Klassics,17.7755735,83.2168205,9826.829697434696,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7836808,83.3578951,18263.459236417555,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Andhra Pradesh Grameena Vikas Bank,17.7836471,83.3579035,18261.992111103023,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Dream Decor,17.7783427,83.3551802,17686.37589633839,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
The District Cooperative Bank,17.8148809,83.2064016,14233.629943706745,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Punjab National Bank,17.8176537,83.2064753,14538.607116132844,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Balaji Jewellers,17.8209447,83.2051933,14913.728922358723,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Raju Cell Point,17.8216741,83.2050193,14995.845133476372,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.8241331,83.2040241,15277.029306431792,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.8276684,83.2026244,15681.619118271046,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Maruthi Suzuki Genuine Parts,17.8286683,83.2026514,15791.345806323448,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.840604,83.1991445,17145.974043951697,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Rama Talkies,17.7278055,83.311448,10854.115233775034,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Marshalls Pet Zone,17.7196693,83.307471,10114.9401757827,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
KFC,17.734237,83.3183872,11825.0956249774,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Max,17.7341789,83.3180215,11787.488670520015,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Reliance Digital,17.7340686,83.317825,11763.393043363598,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
CMR Jewellers,17.7339612,83.3182379,11797.37708334204,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
INOX Leisure,17.7339583,83.3178265,11758.114436959888,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Kamal,17.7342268,83.3182424,11810.83314924402,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
McDonald's,17.7339685,83.3180733,11782.079146818038,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Home Town,17.7341992,83.3178204,11769.388306804478,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Burger King,17.7339554,83.3184237,11814.77185682603,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
NAD,17.7420004,83.2377676,6442.215917810511,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7236166,83.293112,8902.122894753222,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7236531,83.2932177,8913.940451843826,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7234915,83.2930369,8888.708956600636,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7233974,83.293078,8887.83810422561,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7235991,83.2933203,8920.89024815377,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7234999,83.2933598,8919.615278458452,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.725187,83.2974078,9386.95892329316,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7254124,83.2980925,9463.018278938973,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7233456,83.2931436,8891.42436347746,sidewalk,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7235987,83.2938546,8971.334094470707,sidewalk,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7236172,83.2939056,8977.08371700166,sidewalk,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7239338,83.2947775,9075.402590770933,sidewalk,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,18.0551783,83.3580611,43371.68629487146,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Griham Crafting Comfort,17.7430415,83.2578429,7494.150957036111,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Indian Overseas Bank,18.052585,83.4003929,44840.03384711387,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Salt & Pepper,18.0527238,83.4002374,44846.82100720784,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7115461,83.3179524,10899.920957052818,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7116231,83.3180647,10913.592324457397,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7114427,83.3179338,10895.143639550146,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7113635,83.3179938,10899.118574156617,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7113865,83.3186237,10964.471727392376,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7208676,83.3352466,12945.773596067424,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7215531,83.3357993,13024.0552066873,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7223166,83.3363299,13102.918207776593,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.724954,83.3387612,13437.936770670254,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7115228,83.3184396,10949.3101156649,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7112867,83.3180505,10902.82969389412,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7138785,83.3224168,11423.868444213533,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7139398,83.3223861,11422.50624029793,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7140058,83.3225291,11439.06147836341,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7139433,83.3225589,11440.29473697772,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.714023,83.3224289,11429.3084020263,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7117427,83.3182469,10935.62993238217,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7120736,83.3188481,11006.594143116805,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7126087,83.3197978,11119.11405162825,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.713398,83.3211984,11285.220614374282,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7135662,83.3215091,11321.894328768269,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7138068,83.3219592,11374.94677335626,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7145492,83.3235474,11559.128241634704,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7156137,83.3257926,11820.121087641735,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7156358,83.3258401,11825.632405358116,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7157984,83.3261894,11866.16594311338,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7165547,83.3277875,12052.043178469065,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7170727,83.3289258,12183.869920970645,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7193659,83.3338782,12759.081770752022,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.720068,83.3344315,12837.44482640252,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7221311,83.3344939,12911.031637689732,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7203962,83.3345973,12864.736149085576,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7206946,83.3347984,12894.719412190365,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7210547,83.3350365,12930.504180781116,crossing,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
